subject	segment	cloze	lab	item	n400
bris06	60	7	bris	165	-8.07
bris06	61	27	bris	168	10.61
bris06	62	97	bris	180	-16.35
bris06	63	97	bris	179	-2.02
bris06	64	0	bris	161	-5.57
bris06	65	7	bris	173	-2.63
bris06	66	0	bris	174	4.09
bris06	67	0	bris	178	-23.09
bris06	68	7	bris	166	-3.77
bris06	69	0	bris	177	-22.58
bris07	1	62	bris	117	5.13
bris07	2	34	bris	108	3.49
bris07	3	90	bris	114	8.47
bris07	4	7	bris	111	1.09
bris07	5	0	bris	120	-0.88
bris07	6	0	bris	107	6.99
bris07	7	87	bris	118	8.48
bris07	8	0	bris	115	-17.61
bris07	9	100	bris	106	6.22
bris07	10	100	bris	102	3.57
bris07	11	13	bris	112	10.84
bris07	12	0	bris	116	-15.45
bris07	13	7	bris	103	-4.40
bris07	14	80	bris	110	1.02
bris07	15	97	bris	113	6.77
bris07	16	0	bris	119	2.94
bris07	17	20	bris	104	2.18
bris07	18	97	bris	101	11.46
bris07	19	93	bris	109	-1.36
bris07	20	93	bris	105	0.66
bris07	21	53	bris	133	-4.64
bris07	22	97	bris	125	11.92
bris07	23	3	bris	132	-17.05
bris07	24	0	bris	127	-2.20
bris07	25	67	bris	128	4.77
bris07	26	0	bris	135	6.39
bris07	27	53	bris	122	-7.54
bris07	28	0	bris	139	-3.54
bris07	29	3	bris	123	2.06
bris07	30	87	bris	126	-2.49
bris07	31	80	bris	137	5.60
bris07	32	90	bris	129	-1.36
bris07	33	93	bris	138	-5.41
bris07	34	77	bris	121	14.19
bris07	35	97	bris	134	0.93
bris07	36	90	bris	130	21.48
bris07	37	0	bris	140	12.84
bris07	38	40	bris	124	5.71
bris07	39	7	bris	136	17.52
bris07	40	37	bris	142	-7.42
bris07	41	3	bris	151	-6.69
bris07	42	37	bris	150	-3.38
bris07	43	13	bris	147	1.98
bris07	44	7	bris	159	11.28
bris07	45	47	bris	144	9.69
bris07	46	100	bris	141	5.29
bris07	47	0	bris	152	-2.40
bris07	48	67	bris	145	20.87
bris07	49	77	bris	154	2.69
bris07	50	0	bris	148	4.19
bris07	51	40	bris	143	17.85
bris07	52	63	bris	146	3.59
bris07	53	40	bris	149	2.47
bris07	54	69	bris	157	9.04
bris07	55	60	bris	155	9.81
bris07	56	27	bris	160	28.14
bris07	57	93	bris	153	3.03
bris07	58	73	bris	158	8.33
bris07	59	0	bris	156	14.24
bris07	60	23	bris	166	10.65
bris07	61	93	bris	165	9.52
bris07	62	57	bris	170	-3.11
bris07	63	0	bris	163	1.92
bris07	64	97	bris	178	4.49
bris07	65	80	bris	173	-1.24
bris07	66	77	bris	164	0.28
bris07	67	0	bris	171	16.51
bris07	68	0	bris	180	4.57
bris07	69	93	bris	169	4.29
bris07	70	70	bris	162	5.92
bris07	71	10	bris	168	-6.20
bris07	72	0	bris	167	20.46
bris07	73	34	bris	161	5.68
bris07	74	100	bris	177	5.50
bris07	75	0	bris	179	8.51
bris07	76	0	bris	175	-0.11
bris07	77	0	bris	176	13.26
bris07	78	0	bris	172	20.80
bris07	79	93	bris	174	24.51
bris08	1	34	bris	108	14.79
bris08	2	0	bris	116	9.14
bris08	3	87	bris	118	13.03
bris08	4	90	bris	114	5.91
bris08	5	0	bris	115	0.07
bris08	6	100	bris	102	5.46
bris08	7	0	bris	120	11.53
bris08	8	7	bris	111	7.14
bris08	9	97	bris	101	-6.15
bris08	10	20	bris	104	8.56
bris08	11	100	bris	106	-2.52
