subject,item,condition,word_position,region_position,rawRT,residRT,qcorrect,experiment
2,12,objgap,3,2,302,-133.97,1,tedrg2
2,12,objgap,4,3,260,-175.97,1,tedrg2
2,12,objgap,5,3,245,-451.03,1,tedrg2
2,12,objgap,6,3,298,-300.51,1,tedrg3
2,12,objgap,7,4,293,-110.46,1,tedrg3
2,12,objgap,8,4,278,-157.97,1,tedrg4
2,12,objgap,9,4,2071,1570.02,1,tedrg4
2,12,objgap,11,5,392,-43.97,1,tedrg5
2,12,objgap,12,5,230,-401.01,1,tedrg6
2,12,objgap,13,5,245,-255.98,1,tedrg6
2,12,objgap,14,6,218,-217.97,1,tedrg7
2,12,objgap,15,6,223,-375.51,1,tedrg7
2,12,objgap,16,6,1016,352.48,1,tedrg7
2,13,subjgap,1,1,397,-38.97,1,tedrg1
2,13,subjgap,2,1,379,-219.51,1,tedrg1
2,13,subjgap,3,2,612,176.03,1,tedrg2
2,13,subjgap,4,3,357,-176.49,1,tedrg2
2,13,subjgap,5,3,339,-96.97,1,tedrg3
2,13,subjgap,6,3,338,-162.98,1,tedrg3
2,13,subjgap,7,4,361,-107.48,1,tedrg4
2,13,subjgap,8,4,425,-10.97,1,tedrg4
2,13,subjgap,9,4,777,308.52,1,tedrg4
2,13,subjgap,11,5,360,-75.97,1,tedrg5
2,13,subjgap,12,5,349,-119.48,1,tedrg6
2,13,subjgap,13,5,341,-94.97,1,tedrg6
2,13,subjgap,14,6,334,-69.46,1,tedrg7
2,13,subjgap,15,6,323,-275.51,1,tedrg7
2,13,subjgap,16,6,304,-424.54,1,tedrg7
2,14,objgap,1,1,300,-135.97,1,tedrg1
2,14,objgap,2,1,287,-409.03,1,tedrg1
2,14,objgap,3,2,300,-135.97,1,tedrg2
2,14,objgap,4,3,300,-135.97,1,tedrg2
2,14,objgap,5,3,279,-417.03,1,tedrg2
2,14,objgap,6,3,316,-152.48,1,tedrg3
2,14,objgap,7,4,323,-80.46,1,tedrg3
2,14,objgap,8,4,285,-150.97,1,tedrg4
2,14,objgap,9,4,6627,6126.02,1,tedrg4
2,14,objgap,11,5,272,-163.97,1,tedrg5
2,14,objgap,12,5,278,-190.48,1,tedrg6
2,14,objgap,13,5,225,-308.49,1,tedrg6
2,14,objgap,14,6,290,-145.97,1,tedrg7
2,14,objgap,15,6,272,-196.48,1,tedrg7
2,14,objgap,16,6,1754,1318.03,1,tedrg7
2,14,objgap,17,6,276,-159.97,1,tedrg7
2,14,objgap,18,6,233,-235.48,1,tedrg7
2,14,objgap,19,6,271,-164.97,1,tedrg7
2,14,objgap,20,6,518,-15.49,1,tedrg7
2,15,subjgap,1,1,334,-101.97,1,tedrg1
2,15,subjgap,2,1,383,-215.51,1,tedrg1
2,15,subjgap,3,2,4618,4182.03,1,tedrg2
2,15,subjgap,4,3,375,-158.49,1,tedrg2
2,15,subjgap,5,3,290,-145.97,1,tedrg3
2,15,subjgap,6,3,304,-196.98,1,tedrg3
2,15,subjgap,7,4,294,-174.48,1,tedrg4
2,15,subjgap,8,4,275,-160.97,1,tedrg4
2,15,subjgap,9,4,319,-247,1,tedrg4
2,15,subjgap,10,4,256,-212.48,1,tedrg5
2,15,subjgap,11,5,353,-115.48,1,tedrg5
2,15,subjgap,12,5,338,-228,1,tedrg6
2,15,subjgap,13,5,301,-232.49,1,tedrg6
2,15,subjgap,14,6,778,146.99,1,tedrg7
2,16,objgap,1,1,316,-119.97,1,tedrg1
2,16,objgap,2,1,364,-202,1,tedrg1
2,16,objgap,3,2,346,-89.97,1,tedrg2
2,16,objgap,4,3,317,-118.97,1,tedrg2
2,16,objgap,5,3,270,-361.01,1,tedrg2
2,16,objgap,6,3,434,-66.98,1,tedrg3
2,16,objgap,7,4,366,-37.46,1,tedrg3
2,16,objgap,8,4,361,-74.97,1,tedrg4
2,16,objgap,9,4,4688,4089.49,1,tedrg4
2,16,objgap,11,5,272,-196.48,1,tedrg5
2,16,objgap,12,5,252,-151.46,1,tedrg6
2,16,objgap,13,5,226,-307.49,1,tedrg6
2,16,objgap,14,6,700,231.52,1,tedrg7
2,16,objgap,15,6,286,-117.46,1,tedrg7
2,16,objgap,16,6,326,-174.98,1,tedrg7
3,1,objgap,1,1,339,82.55,1,tedrg1
3,1,objgap,2,1,254,-30.8,1,tedrg1
3,1,objgap,3,2,246,-10.45,1,tedrg2
3,1,objgap,4,3,205,-51.45,1,tedrg2
3,1,objgap,5,3,220,-87.48,1,tedrg2
3,1,objgap,6,3,209,-53.12,1,tedrg3
3,1,objgap,7,4,317,66.22,1,tedrg3
3,1,objgap,8,4,291,34.55,1,tedrg4
3,1,objgap,9,4,227,-46.46,1,tedrg4
3,1,objgap,11,5,194,-62.45,1,tedrg5
3,1,objgap,12,5,209,-64.46,1,tedrg6
3,1,objgap,13,5,220,-36.45,1,tedrg6
3,1,objgap,14,6,224,-21.11,1,tedrg7
3,1,objgap,15,6,272,9.88,1,tedrg7
3,1,objgap,16,6,313,39.54,1,tedrg7
3,2,subjgap,1,1,276,19.55,1,tedrg1
